Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
0236 6000,4003,TELEFONIA SERVER,Inventario,"WIRELESS SERVER 600v3, SCCP - DEMO KIT",4003,4003,unchanged
02365-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS SURVEILLANCE CARD 512GB,2013,2013,unchanged
02370-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS C8110 NETWORK AUDIO BRIDGE,1015,1015,unchanged
02373-001,2013,VIDEOSORVEGLIANZA,Inventario,M3085-V,2013,2013,unchanged
02383-001,2013,VIDEOSORVEGLIANZA,Inventario,"Designed for indoor drop ceiling installations for selected Axis cameras (M3067/8, M4216). It’s robu",2013,2013,unchanged
02390-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS C1511 Network Pendant Speaker,2013,2013,unchanged
02415-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS P4705-PLVE offers two channels with 2MP per channel, at a frame rate of up to 60 fps. .",2013,2013,unchanged
02416-001,1015,VIDEOSORVEGLIANZA,Inventario,P4707-PLVE,1015,1015,unchanged
02420-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q1656-DLE Radar-Video Fusion Camera,2013,2013,unchanged
02421-001,1015,VIDEOSORVEGLIANZA,Inventario,TQ1602-E CONDUIT BACK BOX,1015,1015,unchanged
02450-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3827-PVE Panoramic Camera,2013,2013,unchanged
02464-021,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS TU6001 CONN 3-PIN 3,81 MM 10P",2013,2013,unchanged
02468-021,2013,VIDEOSORVEGLIANZA,Inventario,TU6003 Conn Kit FAKRA 10P,2013,2013,unchanged
024A0014G657A1,1002,CABLAGGIO ALTERNATIVO,Inventario,12G50/125 OM4 BI 1750NCPR Dca,1002,1002,unchanged
02507-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q1808-LE,2013,2013,unchanged
02511-001,1015,VIDEOSORVEGLIANZA,Inventario,"AXIS M4318-PLVE is a discreet, IK10 and IP66 outdoor-ready mini dome designed with 12 MP sensor and ",1015,1015,unchanged
