Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
Da usare se si ordina contemporanemente la fornitura e posa,99,PRESTAZIONE FPO,VARIE,Non in inventario
Da usare se si ordina contemporanemente la fornitura e posa,99004,PRESTAZIONE FPO ELET,TERZISTI DELIVERY INSTALLAZIONI,Non in inventario
Da usare se si ordina contemporanemente la fornitura e posa,99004,PRESTAZIONE FPO SCHN,TERZISTI DELIVERY INSTALLAZIONI,Non in inventario
Da usare se si ordina contemporanemente la fornitura e posa,99004,PRESTAZIONE FPO SPEG,TERZISTI DELIVERY INSTALLAZIONI,Non in inventario
Da usare se si ordina contemporanemente la fornitura e posa,99004,PRESTAZIONE FPO TERM,TERZISTI DELIVERY INSTALLAZIONI,Non in inventario
Dark Web Scanner – 10 Keywords,20001,PAN-DWSM-12M-S-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Dark Web Scanner – 10 Keywords,20001,PAN-DWSM-36M-S-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Dark Web Scanner – 10 Keywords,20006,PAN-DWSM-12M-S,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Dark Web Scanner – 10 Keywords,20006,PAN-DWSM-COTR-S,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Dark Web Scanner – 100 Keywords,20001,PAN-DWSM-36M-XL-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Dark Web Scanner – 100 Keywords,20006,PAN-DWSM-COTR-XL,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Dummy PID for mode selection,2001,MODE-ACI-LEAF,APPARATI CISCO WIRELESS,Inventario
Dummy PID for mode selection,2002,MODE-ACI-SPINE,APPARATI CISCO LAN,Inventario
ES Hosted Node Pack - 50,17001,SXWSWNDES00050,SISTEMI SCHNEIDER,Inventario
ES Hosted Node Pack - 50,24001,SW-ES-NODE-50,BUILDING AUTOMATION,Inventario
Endpoint Detection - 150-249 Agents,20001,PAN-ETDM-12M-S3,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 150-249 Agents,20001,PAN-ETDM-12M-S3-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 150-249 Agents,20006,PAN-ETDM-COTR-S3,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 1500-1999 Agents,20001,PAN-ETDM-36M-S9-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 1500-1999 Agents,20001,PAN-ETDM-COTR-S9-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 1500-1999 Agents,20008,PAN-ETDM-12M-S9,NUOVO CERTEGO SERVIZI CUSTOM,Non in inventario
Endpoint Detection - 50-99 Agents,20001,PAN-ETDM-COTR-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 50-99 Agents,20006,PAN-ETDM-COTR-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 500-749 Agents,20001,PAN-ETDM-COTR-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 500-749 Agents,20006,UNM-ETDM-36M-S6,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Enterprise Security for Endpoints and Mail Servers Multi-Lan,6003,EB00198063,TREND MICRO PRIMA VENDITA,Inventario
Enterprise Security for Endpoints and Mail Servers Multi-Lan,6012,EB00198448,RINNOVO SOFTWARE TREND MICRO,Inventario
Enterprise Server - 10 AS,17001,SXWSWESXX00010,SISTEMI SCHNEIDER,Inventario
Enterprise Server - 10 AS,24001,SW-ES-10,BUILDING AUTOMATION,Inventario
Expressway Rich Media Session (1),4008,A-FLEX-EXPWY-RMS,CISCO VIDEOCONFERENZA/BOARD,Non in inventario
Expressway Rich Media Session (1),4015,A-FLEX-EXP-RMS,CISCO COLLABORATION A CANONE,Non in inventario
