Descrizione Articolo,lob_nunique,lob_values,lob_code_description
PanOptikon SOAR Platform - Standard Service - 12M - 100-149 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 1000-1499 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 150-249 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 1500-1999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 250-349 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 2500-3499 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 50-99 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 500-749 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 350-499 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 36M - 250-349 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SaaS Threat Detection Module – 12M - 350-499 Users,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NS100 – 12M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NS100 – 36M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NS200 – 36M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NSVE Virtual Edition – 12M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NSVE Virtual Edition – 36M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 12M – Medium Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 12M – Small Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 36M – Medium Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 36M – Small Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
